id,video_id,clip_id,video_path,duration_sec,fps,total_frames,width,height,codec
-NFrJFQijFE$_$2,-NFrJFQijFE,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,9.76,25.0,242,1280,720,h264
-THoVjtIkeU$_$12,-THoVjtIkeU,12,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,18.8,30.0,563,640,360,h264
-THoVjtIkeU$_$2,-THoVjtIkeU,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,4.644,30.0,139,640,360,h264
-THoVjtIkeU$_$6,-THoVjtIkeU,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,11.067,30.0,331,640,360,h264
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,13.434,30.0,402,1280,720,h264
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,3.7,30.0,109,1280,720,h264
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,10.634,30.0,319,1280,720,h264
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,15.234,30.0,454,1280,720,h264
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,22.617,30.0,678,480,270,h264
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,11.334,30.0,337,480,360,h264
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,11.0,30.0,329,1280,720,h264
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,19.7,30.0,589,320,240,h264
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,20.534,30.0,615,320,240,h264
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,19.552,30.0,586,320,240,h264
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,12.967,30.0,388,320,240,h264
-egA8-b7-3M$_$26,-egA8-b7-3M,26,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,11.5,30.0,344,640,360,h264
-egA8-b7-3M$_$17,-egA8-b7-3M,17,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,14.0,30.0,417,640,360,h264
-egA8-b7-3M$_$18,-egA8-b7-3M,18,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,13.367,30.0,400,640,360,h264
-egA8-b7-3M$_$16,-egA8-b7-3M,16,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,7.129,30.0,213,640,360,h264
-egA8-b7-3M$_$13,-egA8-b7-3M,13,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,6.967,30.0,207,640,360,h264
-egA8-b7-3M$_$1,-egA8-b7-3M,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,11.534,30.0,345,640,360,h264
-egA8-b7-3M$_$6,-egA8-b7-3M,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,8.035,30.0,241,640,360,h264
-egA8-b7-3M$_$9,-egA8-b7-3M,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,10.134,30.0,302,640,360,h264
-egA8-b7-3M$_$20,-egA8-b7-3M,20,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,14.767,30.0,440,640,360,h264
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,5.84,29.97002997002997,174,1280,720,h264
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,5.806,29.97002997002997,172,1280,720,h264
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,7.475,29.97002997002997,223,1280,720,h264
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,7.152,29.97002997002997,214,1280,720,h264
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,8.642,29.97002997002997,258,1280,720,h264
-lzEya4AM_4$_$5,-lzEya4AM_4,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,7.8,30.0,233,470,360,h264
-lzEya4AM_4$_$6,-lzEya4AM_4,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,22.733,30.0,681,470,360,h264
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,6.574,29.97002997002997,197,1280,720,h264
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/2.mp4,6.781,29.97002997002997,203,1280,720,h264
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/6.mp4,2.648,29.97002997002997,79,1280,720,h264
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/9.mp4,10.01,29.97002997002997,298,1280,720,h264
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/8.mp4,8.662,29.97002997002997,259,1280,720,h264
-mqbVkbCndg$_$0,-mqbVkbCndg,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mqbVkbCndg/0.mp4,6.5,30.0,194,1280,720,h264
-t217m2on-s$_$2,-t217m2on-s,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/2.mp4,8.011,30.0,240,480,270,h264
-t217m2on-s$_$7,-t217m2on-s,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-t217m2on-s/7.mp4,18.7,30.0,558,480,270,h264
-tANM6ETl_M$_$3,-tANM6ETl_M,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tANM6ETl_M/3.mp4,9.1,30.0,271,1280,720,h264
-tPCytz4rww$_$11,-tPCytz4rww,11,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/11.mp4,8.0,30.0,240,480,270,h264
-tPCytz4rww$_$10,-tPCytz4rww,10,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/10.mp4,11.734,30.0,351,480,270,h264
-tPCytz4rww$_$12,-tPCytz4rww,12,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/12.mp4,18.767,30.0,561,480,270,h264
-tPCytz4rww$_$16,-tPCytz4rww,16,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/16.mp4,13.236,30.0,397,480,270,h264
-tPCytz4rww$_$18,-tPCytz4rww,18,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-tPCytz4rww/18.mp4,14.281,30.0,428,480,270,h264
-vxjVxOeScU$_$4,-vxjVxOeScU,4,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-vxjVxOeScU/4.mp4,11.734,30.0,351,480,360,h264
-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wMB_hJL-3o/7.mp4,7.315,30.0,219,480,360,h264
-wny0OAz3g8$_$1,-wny0OAz3g8,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/1.mp4,9.1,30.0,273,1280,720,h264
-wny0OAz3g8$_$0,-wny0OAz3g8,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/0.mp4,3.334,30.0,100,1280,720,h264
-wny0OAz3g8$_$3,-wny0OAz3g8,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/3.mp4,11.169,30.0,334,1280,720,h264
-wny0OAz3g8$_$2,-wny0OAz3g8,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/2.mp4,11.934,30.0,355,1280,720,h264
-wny0OAz3g8$_$5,-wny0OAz3g8,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/5.mp4,9.967,30.0,296,1280,720,h264
-wny0OAz3g8$_$7,-wny0OAz3g8,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/7.mp4,9.5,30.0,283,1280,720,h264
-wny0OAz3g8$_$9,-wny0OAz3g8,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/9.mp4,9.867,30.0,293,1280,720,h264
-571d8cVauQ$_$0,-571d8cVauQ,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,5.167,30.0,152,486,360,h264
-571d8cVauQ$_$5,-571d8cVauQ,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,18.5,30.0,552,486,360,h264
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/1.mp4,10.767,30.0,320,640,360,h264
-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/3.mp4,9.3,30.0,276,640,360,h264
-UacrmKiTn4$_$10,-UacrmKiTn4,10,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/10.mp4,12.634,30.0,377,470,360,h264
-UacrmKiTn4$_$4,-UacrmKiTn4,4,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/4.mp4,6.223,30.0,186,470,360,h264
-hnBHBN8p5A$_$7,-hnBHBN8p5A,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/7.mp4,9.176,23.976023976023978,220,1280,720,h264
-hnBHBN8p5A$_$6,-hnBHBN8p5A,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/6.mp4,11.429,23.976035631539084,274,1280,720,h264
-qDkUB0GgYY$_$6,-qDkUB0GgYY,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-qDkUB0GgYY/6.mp4,9.683,30.0,290,360,360,h264
-uywlfIYOS8$_$4,-uywlfIYOS8,4,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-uywlfIYOS8/4.mp4,14.334,30.0,428,480,270,h264
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,16.58,30.0,497,480,270,h264
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,6.9,30.0,205,1280,720,h264
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,9.334,30.0,277,1280,720,h264
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,10.775,30.0,323,1280,720,h264
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,27.3,30.0,818,1280,720,h264
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,15.834,30.0,474,360,360,h264
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/0.mp4,9.334,30.0,279,470,360,h264
-MeTTeMJBNc$_$13,-MeTTeMJBNc,13,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/13.mp4,7.467,30.0,221,470,360,h264
-MeTTeMJBNc$_$7,-MeTTeMJBNc,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,17.367,30.0,520,470,360,h264
-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/11.mp4,11.7,30.0,348,1280,720,h264
-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/8.mp4,11.657,30.0,349,1280,720,h264
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/2.mp4,6.234,30.0,186,1280,720,h264
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UUCSKoHeMA/0.mp4,7.867,30.0,234,470,360,h264
-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/0.mp4,3.295,23.97604418875992,79,1280,720,h264
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/2.mp4,6.966,23.976043214651384,166,1280,720,h264
-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/5.mp4,5.965,23.976046466253432,142,1280,720,h264
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/1.mp4,10.9,30.0,324,1280,720,h264
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/0.mp4,6.867,30.0,204,1280,720,h264
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/5.mp4,13.567,30.0,404,1280,720,h264
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/4.mp4,6.2,30.0,183,1280,720,h264
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/7.mp4,12.767,30.0,382,1280,720,h264
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/6.mp4,6.6,30.0,195,1280,720,h264
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/8.mp4,6.6,30.0,197,1280,720,h264
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/1.mp4,34.567,30.0,1034,1280,720,h264
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/5.mp4,13.634,30.0,408,1280,720,h264
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/6.mp4,15.488,30.0,462,1280,720,h264
